--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82900;25/04/2000;0000;;29.6;;4.9;86.25;
82900;25/04/2000;1200;15.4;;23;;;
82900;26/04/2000;0000;;28.4;;1.6;84.25;
82900;26/04/2000;1200;51.6;;22.2;;;
82900;27/04/2000;0000;;29.6;;10.4;82.5;
82900;27/04/2000;1200;1.2;;21.4;;;
82900;28/04/2000;0000;;29.8;;4;78.75;
82900;28/04/2000;1200;13;;23.6;;;
82900;29/04/2000;0000;;29.5;;5.9;74;
82900;29/04/2000;1200;16.8;;24;;;
82900;30/04/2000;0000;;29.6;;5.6;83.75;
82900;30/04/2000;1200;0.3;;23.5;;;
82900;01/05/2000;0000;;29.8;;9;73.5;
82900;01/05/2000;1200;7;;20;;;
82900;02/05/2000;0000;;27.8;;0.7;93.25;
82900;02/05/2000;1200;9.3;;22.2;;;
82900;03/05/2000;0000;;29.4;;7.9;92;
82900;03/05/2000;1200;25.7;;21.6;;;
82900;04/05/2000;0000;;29.4;;7.3;87.5;
82900;04/05/2000;1200;21.1;;22;;;
82900;05/05/2000;0000;;29.3;;2.6;93.25;
82900;05/05/2000;1200;5.6;;22.8;;;
82900;06/05/2000;0000;;28.6;;2.7;94.25;
82900;06/05/2000;1200;42.1;;22.7;;;
82900;07/05/2000;0000;;29.3;;5.4;89.75;
82900;07/05/2000;1200;39.1;;23;;;
82900;08/05/2000;0000;;29.9;;9.4;82.5;
82900;08/05/2000;1200;14.2;;23.7;;;
82900;09/05/2000;0000;;29.4;;7.1;79.75;
82900;09/05/2000;1200;0;;20.2;;;
82900;10/05/2000;0000;;29.4;;3.1;87.75;
82900;10/05/2000;1200;3.6;;23;;;
82900;11/05/2000;0000;;29.7;;8.1;79;
82900;11/05/2000;1200;0.3;;22.6;;;
82900;12/05/2000;0000;;29.6;;8.4;84;
82900;12/05/2000;1200;0.4;;22.9;;;
82900;13/05/2000;0000;;29;;4.2;83;
82900;13/05/2000;1200;3.4;;22.5;;;
82900;14/05/2000;0000;;29;;2.7;81.5;
82900;14/05/2000;1200;11.4;;23.6;;;
82900;15/05/2000;0000;;28.7;;7.3;74;
82900;15/05/2000;1200;2.3;;22.6;;;
82900;16/05/2000;0000;;27.8;;1.7;93.5;
82900;16/05/2000;1200;6.7;;23.4;;;
82900;17/05/2000;0000;;29.4;;8.9;89.75;
82900;17/05/2000;1200;40.7;;23.4;;;
82900;18/05/2000;0000;;29.6;;9.1;78.5;
82900;18/05/2000;1200;0.6;;22.9;;;
82900;19/05/2000;0000;;30;;8.4;75;
82900;19/05/2000;1200;0;;21.8;;;
82900;20/05/2000;0000;;29.5;;10;79.25;
82900;20/05/2000;1200;0;;21.2;;;
82900;21/05/2000;0000;;28.7;;8.2;75.25;
82900;21/05/2000;1200;1.3;;21.6;;;
82900;22/05/2000;0000;;29.1;;7.9;80.25;
82900;22/05/2000;1200;0;;22.8;;;
82900;23/05/2000;0000;;29.2;;5.9;85.25;
82900;23/05/2000;1200;7;;23.8;;;
82900;24/05/2000;0000;;28.7;;7.9;81;
82900;24/05/2000;1200;17.6;;22.3;;;
82900;25/05/2000;0000;;29.1;;9.8;76;
82900;25/05/2000;1200;0;;20.9;;;
82900;26/05/2000;0000;;29.4;;7.6;73.75;
82900;26/05/2000;1200;1;;22.4;;;
82900;27/05/2000;0000;;29.3;;8.7;78.5;
82900;27/05/2000;1200;0;;20.4;;;
82900;28/05/2000;0000;;29.5;;9.6;80.5;
82900;28/05/2000;1200;0;;21.6;;;
82900;29/05/2000;0000;;29.4;;8.8;71.75;
82900;29/05/2000;1200;0;;21.6;;;
82900;30/05/2000;0000;;29.2;;3.5;80.5;
82900;30/05/2000;1200;0;;22.4;;;
82900;31/05/2000;0000;;28.9;;3.6;93;
82900;31/05/2000;1200;5;;23;;;
82900;01/06/2000;0000;;29.7;;8.9;80;
82900;01/06/2000;1200;38.5;;22.7;;;
82900;02/06/2000;0000;;29.5;;8;73;
82900;02/06/2000;1200;0;;21.8;;;
